,married,hourly_wage,years_in_education,years_in_employment,num_dependents,gender,race
0,true,3.24,12,2,3,female,white
1,false,3.0,11,0,2,male,white
2,true,6.0,8,28,0,male,white
3,true,5.3,12,2,1,male,white
4,true,8.75,16,8,0,male,white
5,false,11.25,18,7,0,male,white
6,false,5.0,12,3,0,female,white
7,false,3.6,12,4,2,female,white
8,true,18.18,17,21,0,male,white
9,false,6.25,16,2,0,female,white
10,false,8.13,13,0,0,female,white
11,true,8.77,12,0,2,male,white
12,false,5.5,12,3,0,male,white
13,true,22.2,12,15,1,male,white
14,true,17.33,16,0,1,male,white
15,true,7.5,12,0,0,female,white
16,false,10.63,13,10,0,female,white
17,true,3.6,12,0,3,female,white
18,true,4.5,12,6,0,female,white
19,false,6.88,12,4,0,female,white
20,true,8.48,12,13,3,male,white
21,false,6.33,16,9,0,female,white
22,false,0.53,12,1,0,female,white
23,false,6.0,11,8,0,female,nonwhite
24,true,9.56,16,3,1,male,nonwhite
25,true,7.78,16,10,1,male,white
26,true,12.5,16,0,0,male,white
27,true,12.5,15,0,2,male,white
28,true,3.25,8,1,2,female,white
29,true,13.0,14,5,2,male,white
30,false,4.5,14,5,2,female,white
31,false,9.68,13,16,0,female,white
32,false,5.0,12,3,0,female,white
33,false,4.68,12,0,0,female,white
34,true,4.27,16,4,1,female,nonwhite
35,true,6.15,12,6,1,female,nonwhite
36,true,3.51,4,15,5,male,white
37,true,3.0,14,3,0,female,white
38,false,6.25,12,0,0,female,white
39,true,7.81,12,0,0,female,white
40,true,10.0,12,5,4,female,nonwhite
41,true,4.5,14,0,1,female,white
42,true,4.0,11,12,0,female,white
43,false,6.38,13,4,0,female,white
44,true,13.7,15,13,2,male,white
45,false,1.67,10,0,1,male,white
46,true,2.93,12,2,1,female,white
47,false,3.65,14,2,0,male,white
48,true,2.9,12,1,2,female,white
49,false,1.63,12,0,2,female,white
50,false,8.6,16,2,0,female,white
51,true,5.0,12,5,1,male,white
52,true,6.0,12,7,0,male,white
53,false,2.5,12,0,2,male,white
54,false,3.25,15,0,1,male,white
55,false,3.4,16,1,1,female,white
56,false,10.0,8,0,0,male,nonwhite
57,false,21.63,18,8,0,female,white
58,false,4.38,16,0,0,male,white
59,false,11.71,13,20,0,female,white
60,false,12.39,14,5,0,male,white
61,false,6.25,10,8,0,male,white
62,false,3.71,10,0,4,female,nonwhite
63,false,7.78,14,3,0,male,white
64,true,19.98,14,23,2,male,white
65,true,6.25,16,4,3,female,nonwhite
66,true,10.0,12,3,3,male,white
67,true,5.71,16,5,1,male,white
68,false,2.0,12,2,4,female,white
69,false,5.71,16,0,0,female,white
70,true,13.08,17,2,3,male,nonwhite
71,true,4.91,12,8,2,male,white
72,true,2.91,12,34,2,female,white
73,true,3.75,12,0,0,female,white
74,true,11.9,13,19,2,male,white
75,true,4.0,12,0,1,female,white
76,false,3.1,12,1,1,female,white
77,true,8.45,12,13,4,male,white
78,true,7.14,18,0,2,male,white
79,true,4.5,9,5,4,male,white
80,false,4.65,16,1,0,male,white
81,false,2.9,10,0,1,female,white
82,false,6.67,12,5,0,male,white
83,false,3.5,12,2,1,female,nonwhite
84,true,3.26,12,3,1,female,white
85,true,3.25,12,0,1,female,white
86,false,8.0,12,4,1,female,white
87,true,9.85,8,24,2,male,nonwhite
88,true,7.5,12,7,1,male,white
89,true,5.91,12,6,2,male,white
90,true,11.76,14,39,0,male,white
91,false,3.0,12,0,2,female,white
92,false,4.81,12,0,0,female,white
93,false,6.5,12,1,0,female,white
94,true,4.0,9,1,1,female,white
95,false,3.5,13,0,1,male,white
96,true,13.16,12,22,0,male,white
97,true,4.25,14,2,2,male,white
98,false,3.5,12,0,0,male,white
99,false,5.13,15,6,0,female,white
100,true,3.75,12,0,3,female,white
101,true,4.5,12,12,0,female,white
102,false,7.63,12,4,0,female,white
103,true,15.0,14,7,1,male,nonwhite
104,true,6.85,15,3,2,female,white
105,true,13.33,12,11,2,male,white
106,false,6.67,12,10,0,male,white
107,false,2.53,12,0,0,female,white
108,true,9.8,17,0,0,male,white
109,true,3.37,11,12,0,male,white
